证券代码,销售人代码2,赎回交收天数（天）
15李四,103000000003,4
26张三,103000000003,2
30张三,103000000003,4
31张鸣,103000000003,1
21张伟,103000000003,1
12张伟,103000000003,5
13张三,103000000003,5
37王五,103000000003,5
16张伟,103000000003,3
32张三,103000000003,1
15李静,103000000003,1
30张伟,103000000003,2
33张伟,103000000003,5
37李静,103000000003,1
24张鸣,103000000003,5
17王五,103000000003,1
14张鸣,103000000003,3
25李静,103000000003,3
10李静,103000000003,1
13张三,103000000003,4
16张伟,103000000003,5
36李四,103000000003,5
26张伟,103000000003,4
14张三,103000000003,3
22张鸣,103000000003,5
32张鸣,103000000003,3
21李静,103000000003,1
33李静,103000000003,4
12李四,103000000003,3
15张伟,103000000003,2
33张伟,103000000003,4
37李四,103000000003,3
18李四,103000000003,2
28李四,103000000003,1
29张鸣,103000000003,5
36张三,103000000003,2
25李四,103000000003,4
17张三,103000000003,4
10李四,103000000003,4
25张三,103000000003,1
20张鸣,103000000003,4
24李静,103000000003,5
19张三,103000000003,3
12李静,103000000003,4
13张三,103000000003,4
18李四,103000000003,4
36王五,103000000003,1
30张伟,103000000003,3
25张三,103000000003,3
38张三,103000000003,2
10李四,103000000003,3
33王五,103000000003,3
34张鸣,103000000003,2
32李静,103000000003,5
25张伟,103000000003,1
29王五,103000000003,2
37王五,103000000003,2
21王五,103000000003,1
27李静,103000000003,1
38王五,103000000003,3
39李四,103000000003,4
39张伟,103000000003,1
34王五,103000000003,3
21张三,103000000003,1
25张三,103000000003,5
25张鸣,103000000003,2
22王五,103000000003,2
20张鸣,103000000003,4
19张伟,103000000003,5
18李静,103000000003,5
24张伟,103000000003,4
17王五,103000000003,2
39李静,103000000003,5
33张三,103000000003,4
21李静,103000000003,4
19张鸣,103000000003,1
24王五,103000000003,5
31张三,103000000003,1
33张三,103000000003,4
26张伟,103000000003,3
26王五,103000000003,1
20王五,103000000003,5
20李静,103000000003,1
34张伟,103000000003,1
35张伟,103000000003,2
20李四,103000000003,2
37张伟,103000000003,2
25李四,103000000003,5
25张鸣,103000000003,5
12张鸣,103000000003,3
16李静,103000000003,4
21李四,103000000003,1
12张鸣,103000000003,1
38李四,103000000003,2
35张三,103000000003,2
32李静,103000000003,3
25王五,103000000003,3
36李静,103000000003,2
39张鸣,103000000003,2
21张鸣,103000000003,2
14张伟,103000000003,2
20张鸣,103000000003,5
39李四,103000000003,4
26张伟,103000000003,5
33张鸣,103000000003,2
30张鸣,103000000003,3
36张伟,103000000003,4
12王五,103000000003,3
21张三,103000000003,2
22张三,103000000003,1
22张鸣,103000000003,3
11张伟,103000000003,1
27李静,103000000003,1
13张伟,103000000003,2
15王五,103000000003,3
35李静,103000000003,2
32张三,103000000003,5
33王五,103000000003,3
37王五,103000000003,1
27李四,103000000003,4
10李静,103000000003,4
36李静,103000000003,3
14张三,103000000003,1
31李四,103000000003,1
25李静,103000000003,5
23张伟,103000000003,3
13李四,103000000003,5
15张伟,103000000003,4
38张鸣,103000000003,3
38张三,103000000003,5
27李四,103000000003,4
31张鸣,103000000003,2
22李四,103000000003,2
28王五,103000000003,4
29李四,103000000003,1
24张鸣,103000000003,4
24张伟,103000000003,1
39张三,103000000003,1
35李静,103000000003,4
34李静,103000000003,4
14李静,103000000003,4
20王五,103000000003,4
33张三,103000000003,2
15李静,103000000003,4
36王五,103000000003,4
20张三,103000000003,1
24张鸣,103000000003,3
34李四,103000000003,1
39张伟,103000000003,3
39张鸣,103000000003,5
33张鸣,103000000003,2
22李四,103000000003,3
11王五,103000000003,3
33张伟,103000000003,2
38李四,103000000003,4
31张鸣,103000000003,4
39张鸣,103000000003,2
25张鸣,103000000003,1
27张鸣,103000000003,5
23李四,103000000003,3
27张三,103000000003,2
26李静,103000000003,3
38张伟,103000000003,2
23王五,103000000003,1
11王五,103000000003,1
36李静,103000000003,3
19李四,103000000003,4
29李四,103000000003,5
22张伟,103000000003,3
29张鸣,103000000003,2
31张三,103000000003,1
11张伟,103000000003,5
22张三,103000000003,3
38张三,103000000003,5
35张伟,103000000003,1
26李静,103000000003,1
27张伟,103000000003,1
16李四,103000000003,3
28李静,103000000003,1
28李静,103000000003,5
15李四,103000000003,4
30张鸣,103000000003,3
36张三,103000000003,3
34张三,103000000003,4
34张三,103000000003,2
25李静,103000000003,2
10张三,103000000003,4
14王五,103000000003,4
21张鸣,103000000003,5
15王五,103000000003,1
35张三,103000000003,4
36张三,103000000003,1
32张伟,103000000003,2
12张三,103000000003,3
12王五,103000000003,1
18王五,103000000003,1
29张鸣,103000000003,1
19李静,103000000003,4
12李静,103000000003,5
26张三,103000000003,4
39王五,103000000003,4
26张鸣,103000000003,2
37李四,103000000003,5
26王五,103000000003,4
18张鸣,103000000003,2
36王五,103000000003,4
27张三,103000000003,1
37李四,103000000003,4
28李四,103000000003,2
25张鸣,103000000003,1
23李静,103000000003,4
19张三,103000000003,1
10王五,103000000003,5
37张伟,103000000003,2
21李四,103000000003,1
21李静,103000000003,1
11张鸣,103000000003,3
17张鸣,103000000003,4
28张三,103000000003,4
19张三,103000000003,3
29王五,103000000003,5
27张鸣,103000000003,4
12张三,103000000003,4
23李静,103000000003,1
20张伟,103000000003,5
26李静,103000000003,1
29张三,103000000003,2
34李静,103000000003,5
15李四,103000000003,1
32张三,103000000003,2
20李四,103000000003,1
29张伟,103000000003,1
17张鸣,103000000003,5
33张三,103000000003,1
22张伟,103000000003,3
20李静,103000000003,4
16李静,103000000003,1
11张伟,103000000003,3
35张鸣,103000000003,2
15张鸣,103000000003,2
